epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8485,1.50811,2.95137,1.62586,0.7349,0.23239,0.23528,0.13245,1.52111,3.14504,1.58006,0.00025,0.00025,0.00025
2,18.7685,1.43401,1.77994,1.44546,0.61886,0.40464,0.421,0.23601,1.51397,2.12478,1.62951,0.000504044,0.000504044,0.000504044
3,25.9092,1.46103,1.58854,1.48159,0.14467,0.37381,0.1992,0.09885,1.71243,3.85319,1.82745,0.000749425,0.000749425,0.000749425
4,33.6146,1.53131,1.65376,1.49821,0.17457,0.40282,0.20236,0.11447,1.70327,4.27619,1.89521,0.000986144,0.000986144,0.000986144
5,40.3451,1.48041,1.56362,1.48141,0.73621,0.24716,0.22357,0.11853,1.80615,2.91125,1.91802,0.0011675,0.0011675,0.0011675
6,47.8465,1.40932,1.42203,1.44548,0.2337,0.25418,0.1626,0.09417,1.98192,2.3678,2.24501,0.00114688,0.00114688,0.00114688
7,54.5057,1.41183,1.44104,1.48128,0.19966,0.26709,0.24198,0.13682,1.68544,2.01281,1.83758,0.00112625,0.00112625,0.00112625
8,61.9627,1.41746,1.37841,1.43525,0.39802,0.51494,0.34725,0.17859,1.73891,2.57348,1.78107,0.00110563,0.00110563,0.00110563
9,68.9148,1.42134,1.35473,1.44387,0.52856,0.53106,0.33461,0.18441,1.66922,2.09421,1.80242,0.001085,0.001085,0.001085
10,76.4097,1.35019,1.29592,1.40924,0.63343,0.45568,0.39469,0.21542,1.64355,2.2184,1.72892,0.00106437,0.00106437,0.00106437
11,83.9412,1.39637,1.32332,1.41964,0.70666,0.34621,0.44081,0.27224,1.70055,1.67744,1.76387,0.00104375,0.00104375,0.00104375
12,90.745,1.37623,1.27203,1.39921,0.54586,0.58782,0.47931,0.29618,1.63561,1.52854,1.73365,0.00102312,0.00102312,0.00102312
13,98.4287,1.37993,1.24602,1.41579,0.35778,0.5491,0.40277,0.20998,1.62899,1.43863,1.65545,0.0010025,0.0010025,0.0010025
14,105.216,1.333,1.20824,1.41964,0.31556,0.45921,0.33445,0.20813,1.62495,1.56692,1.68191,0.000981875,0.000981875,0.000981875
15,112.816,1.36624,1.23198,1.39632,0.44935,0.48759,0.44701,0.27342,1.65368,1.77027,1.71806,0.00096125,0.00096125,0.00096125
16,119.657,1.35045,1.15852,1.37845,0.41958,0.47883,0.42569,0.23498,1.51303,1.60261,1.51911,0.000940625,0.000940625,0.000940625
17,127.144,1.31897,1.18216,1.36907,0.47893,0.65368,0.41801,0.2512,1.45938,1.13143,1.52913,0.00092,0.00092,0.00092
